,medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_hour,pickup_day
638,FFED7CFCB1A658ADEC2DC6A899047060,4B1D29DFFC9EE06E5543BC4440EB99DB,VTS,1,,2013-01-13 04:29:00,2013-01-13 04:44:00,1,900,4.47,-73.983032,40.764576,-73.917419,40.744839,4,Sunday
639,FE6449BC4837A48D56D9D01265659420,C8EFFBC8DA5BECE88AF1F90D8B738EA2,VTS,1,,2013-01-13 11:03:00,2013-01-13 11:16:00,6,780,4.01,-73.9515,40.782269,-73.98848000000001,40.739532000000004,11,Sunday
640,BEB2746258D1CCFBC07997AD059510CC,474F60AC2E0F54BF4D95CD33E3B517DD,VTS,1,,2013-01-13 11:13:00,2013-01-13 11:15:00,5,120,0.77,-73.967995,40.768665000000006,-73.961861,40.771053,11,Sunday
641,E8A63DAE2F9350DA9FFC73EE6A66A286,944F719CD50D2807DEA70888F7E107B6,VTS,1,,2013-01-13 11:04:00,2013-01-13 11:16:00,1,720,2.83,-73.964134,40.792538,-73.97024499999999,40.762444,11,Sunday
642,6A8E2C9511387342F2D6075F44FA299F,5C2617922B2ACD691DE777ED20131CF9,VTS,1,,2013-01-13 11:01:00,2013-01-13 11:15:00,5,840,3.56,-73.97573100000001,40.7491,-73.976822,40.78582,11,Sunday
643,6BC8A10E64A26AD2E7C921522D310FD5,C2F306C8E1ABA0C38BB4F4444588C8D3,VTS,1,,2013-01-13 04:38:00,2013-01-13 04:47:00,6,540,3.46,-73.974457,40.746269,-73.95663499999999,40.775375,4,Sunday
644,2B24917466A4206A9483C2F0E2A5BFC2,9293B314AFCC98EBB0551F744AFB2E02,VTS,1,,2013-01-13 04:24:00,2013-01-13 04:44:00,1,1200,8.69,-73.971977,40.762878,-73.95620699999999,40.821521999999995,4,Sunday
645,473F8BEE132DA75D4E0E9D0B7BC26B0F,3C505237A2F73AD08631060B95C3082B,VTS,1,,2013-01-13 04:26:00,2013-01-13 04:47:00,1,1260,7.18,-73.98380300000001,40.743233000000004,-73.952805,40.822514,4,Sunday
646,69AA4123B3E1670F5F138F35DE08A86C,A2776B52054B7D5ABA118B1CD38C3020,VTS,1,,2013-01-13 04:36:00,2013-01-13 04:44:00,1,480,1.4,-73.978409,40.765896000000005,-73.98966999999999,40.756725,4,Sunday
647,2084C667B25600300BD2ADC328692E73,D8F708032B1A52287489DB7CDE8C7B26,VTS,1,,2013-01-13 04:27:00,2013-01-13 04:43:00,5,960,2.91,-74.005836,40.739502,-73.997253,40.714424,4,Sunday
648,AA03819EAA79B08201ED62133675189B,48D6F34DC6718FEB7FD9488BF74F7783,VTS,1,,2013-01-13 04:34:00,2013-01-13 04:44:00,1,600,3.34,-73.992126,40.729884999999996,-73.991096,40.696384,4,Sunday
649,3112FC4E5C14054B8A5DB00037572C70,9A9D0C467594A9314F5C751F6E8BD30E,VTS,5,,2013-01-13 04:19:00,2013-01-13 04:44:00,3,1500,6.97,-73.995995,40.767231,-74.037819,40.71471,4,Sunday
650,4235B84E89BCBDF56662F123DF30111B,BA3141A26DE0E38CAC144C885695F46A,VTS,1,,2013-01-13 04:44:00,2013-01-13 04:47:00,6,180,0.6,-73.986946,40.758862,-73.993729,40.762157,4,Sunday
651,5E3849AF13364634FB9EDE3189D75201,28EDC0E51EB8E931098D57D31B59F012,VTS,1,,2013-01-13 04:36:00,2013-01-13 04:43:00,2,420,1.91,-73.89370699999999,40.747707,-73.885902,40.764706,4,Sunday
652,59D95A199E9667F7291EA3F9E8072D86,112245AEF660D27E6D0A54AC60DBB641,VTS,1,,2013-01-13 04:36:00,2013-01-13 04:45:00,1,540,2.57,-73.988068,40.748459000000004,-73.976555,40.725475,4,Sunday
653,4AE40EC201CF050890A1780662AA134D,786A3AEE2AFF4FF3A2D9ED307B415EF2,VTS,1,,2013-01-13 04:30:00,2013-01-13 04:47:00,1,1020,5.5,-73.92977900000001,40.767326000000004,-73.97882800000001,40.782475,4,Sunday
654,9B04FD537919FB639CAA8FE21E3BAD3A,327401DD2B20785110594AC85E3DAE1E,VTS,1,,2013-01-13 04:32:00,2013-01-13 04:47:00,1,900,4.63,-74.000381,40.730109999999996,-73.968925,40.785946,4,Sunday
655,F286AF283836868F63442CC5A28FC43D,503268D15706836D97C9C8ABBA22E7CC,VTS,1,,2013-01-13 04:45:00,2013-01-13 04:46:00,2,60,0.2,-73.963936,40.761326000000004,-73.96769,40.762413,4,Sunday
656,B44B68A94F796D29C5063B226298A004,4BF9D113DC767EA4977F1126896B1F61,VTS,1,,2013-01-13 04:18:00,2013-01-13 04:43:00,1,1500,8.03,-74.00975799999999,40.714073,-73.926163,40.76569,4,Sunday
657,2C02AC5CD7236959C1DF87721A1E0E89,9A2C2B65C3E0826009CA885FEA3C7250,VTS,1,,2013-01-13 04:51:00,2013-01-13 04:53:00,1,120,1.06,-74.000153,40.732853000000006,-73.99168399999999,40.74419,4,Sunday
658,6CE20A8D4E3097006E4C4BD9D7A01BC4,5AB780C26F271BCC936001F179505F57,VTS,1,,2013-01-13 04:45:00,2013-01-13 04:53:00,1,480,1.24,-73.98724399999999,40.691673,-73.999184,40.684605,4,Sunday
659,C9C38B1BAB28CB7F054EE5284A896813,76C5264BF178CCE692DC30659D5BC65F,VTS,1,,2013-01-13 04:29:00,2013-01-13 04:53:00,1,1440,13.13,-73.987808,40.724197,-73.89093000000001,40.870056,4,Sunday
660,C7CD5A324582EFE8885A3B2B02124B3F,2590F0470D831D60C93B71D3142136B8,VTS,1,,2013-01-13 04:41:00,2013-01-13 04:54:00,1,780,3.7,-73.899117,40.740471,-73.988609,40.758342999999996,4,Sunday
661,91E26392B0FB090B4E2F95ADBEFAA71D,A49DF469291B8C1368E21BD6E8465007,VTS,1,,2013-01-13 04:46:00,2013-01-13 04:54:00,1,480,2.43,-73.99006700000001,40.719196000000004,-73.988708,40.703445,4,Sunday
662,8E1304AD65AE6861005460130F2BF7CD,5918599E17065EE640C8543A5C7A703B,VTS,1,,2013-01-13 04:43:00,2013-01-13 04:54:00,1,660,2.91,-73.98526,40.723694,-73.994125,40.751377000000005,4,Sunday
663,43A470E49950BEF5E3AA469451D1D712,E17E357261AAA1B586B528B61EAF47B5,VTS,1,,2013-01-13 11:03:00,2013-01-13 11:11:00,2,480,3.01,-73.990875,40.717991,-73.956131,40.721462,11,Sunday
664,8D703561DA6CDC7AA1A167E04A9210A7,7954C46FFFAD655FB0D967EF84B7A4C2,VTS,1,,2013-01-13 10:50:00,2013-01-13 11:15:00,3,1500,9.36,-73.963066,40.763453999999996,-73.84944200000001,40.718983,10,Sunday
665,9D00F31E2C114E3699A745BC9E7BFCE9,06202D9C9692F4D185623C2433C98816,VTS,1,,2013-01-13 11:07:00,2013-01-13 11:15:00,1,480,1.62,-73.981895,40.763424,-73.958611,40.769042999999996,11,Sunday
666,415D96E0402F90C23653AA6C528E6170,058499B279AF2A52FFD51AF584ECBF7F,VTS,1,,2013-01-13 11:12:00,2013-01-13 11:15:00,1,180,0.92,-73.972404,40.786316,-73.979546,40.776379,11,Sunday
667,A1F57C8D764D70CD18D2C0F2A98A6D0D,DD2E75E9CC0FDC407B3876B1B9BD765D,VTS,1,,2013-01-13 11:04:00,2013-01-13 11:10:00,5,360,0.82,-73.96390500000001,40.765223999999996,-73.968475,40.767056,11,Sunday
668,E9724F18B4BB26B5F9A0EFD52B1B3806,A09BF801A198247D57595312536D8DFA,VTS,1,,2013-01-13 11:06:00,2013-01-13 11:11:00,5,300,1.47,-73.99006700000001,40.732966999999995,-73.978943,40.749866,11,Sunday
669,A4142B3536A686E0AF19544F86E1FE08,1DFB6ABFDBAF56D39F22345566611939,VTS,1,,2013-01-13 11:08:00,2013-01-13 11:14:00,1,360,1.24,-73.984138,40.746596999999994,-74.002083,40.755959000000004,11,Sunday
670,0B3FAB0F479B74ECFDB842356299CA28,F8F334BD7A3AAFD6D04089FA22EDEB62,VTS,1,,2013-01-13 11:04:00,2013-01-13 11:10:00,1,360,1.83,-73.957672,40.773907,-73.940475,40.789078,11,Sunday
